AUUC,AUUC_random,C,method,penalty,split
51109.60981235857,30449.44195385465,10,MITE_SDR,l2,19
49831.733869160154,29881.56257739532,10,ITE_2M,l2,20
49767.75272231828,29881.56257739532,10,ITE_SDR,l2,20
50797.934430725225,29881.56257739532,10,MITE_2M,l2,20
50647.845773026354,29881.56257739532,10,MITE_SDR,l2,20
50482.064438697904,30712.35734728958,10,ITE_2M,l2,21
50396.427744346736,30712.35734728958,10,ITE_SDR,l2,21
52009.86486075804,30712.35734728958,10,MITE_2M,l2,21
51796.03663150821,30712.35734728958,10,MITE_SDR,l2,21
50501.85736120782,30528.9178925007,10,ITE_2M,l2,22
50444.919566255056,30528.9178925007,10,ITE_SDR,l2,22
51721.16804131538,30528.9178925007,10,MITE_2M,l2,22
51536.748106213585,30528.9178925007,10,MITE_SDR,l2,22
50743.54067977137,30611.73137939615,10,ITE_2M,l2,23
50655.625275802,30611.73137939615,10,ITE_SDR,l2,23
52276.10381615844,30611.73137939615,10,MITE_2M,l2,23
52064.619846809845,30611.73137939615,10,MITE_SDR,l2,23
52217.78887377693,31507.177569086067,10,ITE_2M,l2,24
52162.78008370067,31507.177569086067,10,ITE_SDR,l2,24
53478.66621029728,31507.177569086067,10,MITE_2M,l2,24
53302.81899263614,31507.177569086067,10,MITE_SDR,l2,24
51754.966085311324,31286.703462592122,10,ITE_2M,l2,25
51720.458439110706,31286.703462592122,10,ITE_SDR,l2,25
53053.37782163571,31286.703462592122,10,MITE_2M,l2,25
52841.550790094305,31286.703462592122,10,MITE_SDR,l2,25
51470.795379366755,31113.53117225523,10,ITE_2M,l2,26
51398.33895242204,31113.53117225523,10,ITE_SDR,l2,26
52816.57320141267,31113.53117225523,10,MITE_2M,l2,26
52633.08238997403,31113.53117225523,10,MITE_SDR,l2,26
49848.26265983446,29917.225080735254,10,ITE_2M,l2,27
49759.60440111508,29917.225080735254,10,ITE_SDR,l2,27
50904.03011129879,29917.225080735254,10,MITE_2M,l2,27
50732.22113280938,29917.225080735254,10,MITE_SDR,l2,27
51600.07312730271,30863.644150053966,10,ITE_2M,l2,28
51516.4503929814,30863.644150053966,10,ITE_SDR,l2,28
52841.04949118613,30863.644150053966,10,MITE_2M,l2,28
52683.40703971867,30863.644150053966,10,MITE_SDR,l2,28
50038.50704607836,30225.70387882949,10,ITE_2M,l2,29
