AUUC,AUUC_random,C,method,penalty,split
30611.73137939615,30611.73137939615,0.01,ITE_SDR,l1,23
52276.85401182153,30611.73137939615,0.01,MITE_2M,l1,23
30611.73137939615,30611.73137939615,0.01,MITE_SDR,l1,23
31507.177569086078,31507.17756908607,0.01,ITE_2M,l1,24
31507.177569086078,31507.17756908607,0.01,ITE_SDR,l1,24
53479.74878027231,31507.17756908607,0.01,MITE_2M,l1,24
31507.177569086078,31507.17756908607,0.01,MITE_SDR,l1,24
31286.703462592104,31286.70346259212,0.01,ITE_2M,l1,25
31286.703462592104,31286.70346259212,0.01,ITE_SDR,l1,25
53054.094762960616,31286.70346259212,0.01,MITE_2M,l1,25
31286.703462592104,31286.70346259212,0.01,MITE_SDR,l1,25
31113.531172255225,31113.53117225523,0.01,ITE_2M,l1,26
31113.531172255225,31113.53117225523,0.01,ITE_SDR,l1,26
52816.402972159296,31113.53117225523,0.01,MITE_2M,l1,26
31113.531172255225,31113.53117225523,0.01,MITE_SDR,l1,26
29917.225080735254,29917.225080735254,0.01,ITE_2M,l1,27
29917.225080735254,29917.225080735254,0.01,ITE_SDR,l1,27
50904.374607505306,29917.225080735254,0.01,MITE_2M,l1,27
29917.225080735254,29917.225080735254,0.01,MITE_SDR,l1,27
30863.64415005397,30863.64415005397,0.01,ITE_2M,l1,28
30863.64415005397,30863.64415005397,0.01,ITE_SDR,l1,28
52839.72842903008,30863.64415005397,0.01,MITE_2M,l1,28
30863.64415005397,30863.64415005397,0.01,MITE_SDR,l1,28
30225.70387882949,30225.70387882949,0.01,ITE_2M,l1,29
30225.70387882949,30225.70387882949,0.01,ITE_SDR,l1,29
51410.842401411224,30225.70387882949,0.01,MITE_2M,l1,29
30225.70387882949,30225.70387882949,0.01,MITE_SDR,l1,29
30914.671889072157,30914.671889072157,0.01,ITE_2M,l1,30
30914.671889072157,30914.671889072157,0.01,ITE_SDR,l1,30
52390.67899171929,30914.671889072157,0.01,MITE_2M,l1,30
30914.671889072157,30914.671889072157,0.01,MITE_SDR,l1,30
31530.511689311963,31530.511689311934,0.01,ITE_2M,l1,31
31530.511689311963,31530.511689311934,0.01,ITE_SDR,l1,31
53497.41928746019,31530.511689311934,0.01,MITE_2M,l1,31
31530.511689311963,31530.511689311934,0.01,MITE_SDR,l1,31
30372.67894682605,30372.67894682605,0.01,ITE_2M,l1,32
30372.67894682605,30372.67894682605,0.01,ITE_SDR,l1,32
51274.757171312645,30372.67894682605,0.01,MITE_2M,l1,32
30372.67894682605,30372.67894682605,0.01,MITE_SDR,l1,32
31349.210059126464,31349.210059126464,0.01,ITE_2M,l1,33
31349.210059126464,31349.210059126464,0.01,ITE_SDR,l1,33
53336.249767103625,31349.210059126464,0.01,MITE_2M,l1,33
31349.210059126464,31349.210059126464,0.01,MITE_SDR,l1,33
31389.043168473218,31389.043168473218,0.01,ITE_2M,l1,34
31389.043168473218,31389.043168473218,0.01,ITE_SDR,l1,34
53239.24980991268,31389.043168473218,0.01,MITE_2M,l1,34
31389.043168473218,31389.043168473218,0.01,MITE_SDR,l1,34
30981.4786476546,30981.4786476546,0.01,ITE_2M,l1,35
30981.4786476546,30981.4786476546,0.01,ITE_SDR,l1,35
52478.52887257582,30981.4786476546,0.01,MITE_2M,l1,35
30981.4786476546,30981.4786476546,0.01,MITE_SDR,l1,35
31539.59922555246,31539.59922555248,0.01,ITE_2M,l1,36
31539.59922555246,31539.59922555248,0.01,ITE_SDR,l1,36
53595.41397190651,31539.59922555248,0.01,MITE_2M,l1,36
31539.59922555246,31539.59922555248,0.01,MITE_SDR,l1,36
31120.28863328822,31120.28863328824,0.01,ITE_2M,l1,37
